date_time_,date_,time_,open_,open_t,high_,low_,close_,volume_,turnover_,ratio
201701031500,20170103,930,117723.61903015137,117723.61903015137,118628.19240549317,117465.16299851076,117594.39101433106,459840.0,420595200.0,113.677001953125
201701041500,20170104,930,117723.61903015137,118240.51972573243,118628.19240549317,117465.16299851076,118369.73637385255,459840.0,420595200.0,113.677001953125
201701051500,20170105,930,118240.51972573243,118498.96438967287,118628.19240549317,118111.29170991213,118369.73637385255,449330.0,411503488.0,113.677001953125
201701061500,20170106,930,118498.96438967287,118498.96438967287,118628.19240549317,118240.51972573243,118498.96438967287,344373.0,315769696.0,113.677001953125
201701091500,20170109,930,118498.96438967287,117982.0636940918,118498.96438967287,117723.61903015137,117982.0636940918,358154.0,327176384.0,113.677001953125
201701101500,20170110,930,117982.0636940918,118240.51972573243,118498.96438967287,117723.61903015137,118240.51972573243,361082.0,329994592.0,113.677001953125
201701111500,20170111,930,118240.51972573243,118111.29170991213,118369.73637385255,118111.29170991213,118240.51972573243,241054.0,220575104.0,113.677001953125
201701121500,20170112,930,118111.29170991213,117982.0636940918,118498.96438967287,117982.0636940918,118111.29170991213,303431.0,277553216.0,113.677001953125
201701131500,20170113,930,117982.0636940918,118111.29170991213,118498.96438967287,117982.0636940918,118240.51972573243,428007.0,391869408.0,113.677001953125
201701161500,20170116,930,118111.29170991213,118240.51972573243,118757.40905361329,117852.8356782715,118369.73637385255,434301.0,397601888.0,113.677001953125
201701171500,20170117,930,118240.51972573243,117852.8356782715,118369.73637385255,117206.71833457032,118111.29170991213,683166.0,623025792.0,113.677001953125
201701181500,20170118,930,117852.8356782715,118111.29170991213,118369.73637385255,117594.39101433106,118240.51972573243,545552.0,498179712.0,113.677001953125
201701191500,20170119,930,118111.29170991213,118240.51972573243,118757.40905361329,117982.0636940918,118498.96438967287,574269.0,526426592.0,113.677001953125
201701201500,20170120,930,118240.51972573243,118498.96438967287,119403.53776501465,118240.51972573243,118628.19240549317,437713.0,402445600.0,113.677001953125
201701231500,20170123,930,118498.96438967287,119145.08173337401,119274.30974919435,118498.96438967287,119145.08173337401,393329.0,361865216.0,113.677001953125
201701241500,20170124,930,119145.08173337401,119274.30974919435,119661.98242895506,118886.63706943361,119145.08173337401,420299.0,388019104.0,113.677001953125
201701251500,20170125,930,119274.30974919435,119791.21044477541,119920.43846059572,118886.63706943361,119791.21044477541,470244.0,434787712.0,113.677001953125
201701261500,20170126,930,119791.21044477541,119791.21044477541,119920.43846059572,119532.76578083498,119661.98242895506,304402.0,281976288.0,113.677001953125
201702031500,20170203,930,119791.21044477541,120695.78382011717,120695.78382011717,119661.98242895506,120566.55580429686,420713.0,391844288.0,113.677001953125
201702061500,20170206,930,120695.78382011717,119661.98242895506,120954.2284840576,119403.53776501465,119661.98242895506,315472.0,292617984.0,113.677001953125
201702071500,20170207,930,119661.98242895506,120308.11114035646,120437.32778847656,119661.98242895506,120308.11114035646,516786.0,480441344.0,113.677001953125
201702081500,20170208,930,120308.11114035646,120049.65510871582,120437.32778847656,119791.21044477541,120178.88312453612,396885.0,368755296.0,113.677001953125
201702091500,20170209,930,120049.65510871582,120178.88312453612,120178.88312453612,119403.53776501465,120178.88312453612,360272.0,333975392.0,113.677001953125
201702101500,20170210,930,120178.88312453612,120437.32778847656,120566.55580429686,119920.43846059572,120308.11114035646,342855.0,319200992.0,113.677001953125
201702131500,20170213,930,120437.32778847656,120695.78382011717,120954.2284840576,120308.11114035646,120566.55580429686,482743.0,450701312.0,113.677001953125
201702141500,20170214,930,120695.78382011717,121600.35719545897,121988.02987521971,120566.55580429686,121600.35719545897,638365.0,599950976.0,113.677001953125
201702151500,20170215,930,121600.35719545897,121471.12917963866,121729.57384357908,121083.45649987792,121471.12917963866,362405.0,340318400.0,113.677001953125
201702161500,20170216,930,121471.12917963866,122117.25789104003,123151.04791450195,121341.90116381834,122117.25789104003,756613.0,716759680.0,113.677001953125
201702171500,20170217,930,122117.25789104003,122246.47453916015,122634.14721892089,121729.57384357908,122246.47453916015,411161.0,388636192.0,113.677001953125
201702201500,20170220,930,122246.47453916015,121471.12917963866,122634.14721892089,121083.45649987792,121341.90116381834,423775.0,400161792.0,113.677001953125
201702211500,20170221,930,121471.12917963866,123409.50394614256,123797.17662590332,121471.12917963866,123538.72059426269,898755.0,855710784.0,113.677001953125
201702221500,20170222,930,123409.50394614256,123667.948610083,124314.06595378417,123280.27593032226,123667.948610083,646584.0,618761088.0,113.677001953125
201702231500,20170223,930,123667.948610083,123409.50394614256,123667.948610083,122763.37523474121,123667.948610083,462966.0,441528384.0,113.677001953125
201702241500,20170224,930,123409.50394614256,122763.37523474121,123667.948610083,122504.93057080077,122892.60325056151,335328.0,319293792.0,113.677001953125
201702271500,20170227,930,122763.37523474121,122763.37523474121,123280.27593032226,122504.93057080077,122763.37523474121,332500.0,316020800.0,113.677001953125
